,评论ID,机型,规格,初评时间,初评内容,追评时间,追评内容,追评天数
25,1128336441978,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 15:47:31,收到货了，使用起来很流畅，紫色还不错，挺好看的！,,,
26,1129166779483,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 15:02:47,"网上的测评很详细了，不再多说，我看中ip68,很好，很nice,给老婆买的，所以选紫色。漂亮。来个手机壳，全了。 拍照效果：老婆用来扫码，绝对够用。 电池续航：我老婆不玩游戏，够了。 通信音质：信号没问题。 运行速度：顶级处理器，没问题。 显示效果：屏幕顶级，不用多说。",,,
27,1129165311464,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 14:53:20,专门给弟弟买的手机 用起来还不错哦 好评啦 感谢客服【泽米晨茜 】细心解答问题啦 再用一段时间 如果不错再买一台,,,
28,1128762070480,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 14:30:01,别的不多说了，多年苹果用户，12pm用不下去了，试了米11pro，真香，第一次用小米的产品,,,
29,1129161611749,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 14:29:49,收到了，物流很快，太爱了，拍照比之前好太多，游戏体验也很棒！,,,
30,1128321661953,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 14:10:06,非常满意。,,,
31,1128321493056,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 14:04:30,相机功能强大，屏幕很好，打游戏非常流畅,,,
32,1129158011377,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 14:04:02,会黑屏，充电器用了一礼拜就充不了电，差差差！！！,,,
33,1128317105532,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 13:37:28,15年开始买的小米手机，见证了小米手机的发展，小米手机是功能最全的手机品牌，希望小米手机可以越来越好!期待未来雷军的小米汽车!显示效果：非常好!显示效果很细腻!,,,
34,1127881564444,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 13:21:20,指纹解锁慢，手指出点汗都影响解锁，其他观察中,,,
35,1128311101745,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 12:58:04,买了手机之后最近经常发现很多人在讨论小米11系列的，只有用过才知道,,,
36,1129144203163,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 12:31:55,屏幕没得说，但是想要续航建议只开1080p和120hz。但是做工还是有瑕疵后盖和中框之间的缝隙有点大不知道影不影响使用，其次就是发热问题面前打王者开最高画质打两个小时电池温度大概41度，正常刷刷b站抖音什么的有点温热，其他问题目前没发现,,,
37,1128304049587,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 12:05:53,物流很快，物品完好无损，用起来很舒服，喜欢💕,2021-04-12 20:26:23,新手机进这么大的灰让我修😂,0.0
38,1129133695284,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 11:14:39,可以，不错，打游戏很流畅，充电速度很快，二十分钟可以用一天,,,
39,1127861404412,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:58:45,我喜欢它的拍照，感觉像素很清晰。电池能力可。,,,
40,1127861332120,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 10:57:06,宝贝挺好用的！,,,
41,1127859792896,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 10:50:32,拍照效果：最大的亮点 电池续航：充电贼快 运行速度：杠杠的 显示效果：也蛮好,,,
42,1127857600751,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:37:15,超级棒的手机，非常喜欢。mix3可以退休了。打游戏神机,,,
43,1128290593402,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:31:19,其他特色：真品，正品。。。。。 拍照效果：杠杠滴。。。。 电池续航：满满滴。。。。 通信音质：美美滴。。。。 运行速度：嗖嗖滴 显示效果：亮亮滴。。。。,,,
44,1128723914505,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:13:41,指纹不是太灵敏，有时候用着会卡顿，拍照有的时候会泛蓝光，希望系统更新可以有所改善,,,
45,1129123367950,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:10:01,拍照效果：非常不错 电池续航：充电速度快。续航可以 运行速度：比我之前的反应快多了。手感超级好 值得拥有,,,
46,1128723266244,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 10:08:57,挺好的，充电很快，手感也不错,,,
47,1128722754835,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 10:06:31,我感觉放大50倍像素没有，在发布会上的好,,,
48,1128285341125,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 09:54:33,电池续航：牛*牛*，头天买第二天就到了，支持小米。很遗憾没抢上开发版资格。,,,
49,1128282769016,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 09:37:38,哈哈哈哈，5000的电池太香啦,,,
50,1129113503817,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 09:07:12,很快啊 啪一声我就买了，用了个把星期了十分满意哦，充电很快不亏是67w，准备再买个手环🐮🍺,,,
51,1129109799985,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 08:39:53,已使用了才来评。宝贝儿照相特别好，哎呀，棒的很,,,
52,1128272125526,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 08:13:20,拍照效果：拍照高清大片的感觉，很棒 电池续航：5000就是大，充电也贼快 通信音质：声音很有质感 运行速度：流畅丝滑的感觉，很棒的体验感 显示效果：2K无敌，120HZ直接起飞，很舒服,,,
53,1128270033881,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-12 07:37:47,其他特色：手机很大 拍照效果：对我来说很清晰 电池续航：可以打很久的游戏，几个小时的大型游戏没有压力 通信音质：通讯可能是我这地方小，没有5g所以不怎么好，音质很好 运行速度：可以同时带四个大型游戏，比如我就是开王者和吃鸡还有穿越火线和原神 显示效果：画质清晰，视觉感很好,,,
54,1128701438042,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-12 01:44:24,正常发烫，速度还行，屏幕偏黄,,,
55,1129100931032,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-12 01:32:40,拍照没话说牛，运行速度很快，音质很好，费电有点快，其它的都可以,,,
56,1128260645994,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+128GB,2021-04-11 23:35:56,速度快，晚上买早上到，机身摸着非常舒服，拍照也好，特别是夜景真不是盖的，而且颜色很骚气，很符合我们这些年轻人，充电速度快！,,,
57,1129092335851,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 22:46:14,老实说体验一般，bug有点多，经常卡*要关了重开，打王者网不稳定，会掉帧很不爽，其他倒是挺不错的,,,
58,1128689406122,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 22:02:09,第一次用小米，挺好用的，电池也大，不错的,,,
59,1128688938625,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 22:01:49,电信4G数据网络不稳定，老掉网,,,
60,1128685022796,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 21:21:35,屏幕完美 不刺眼睛 反应流畅  旗舰就是旗舰  拍照也足够强悍了 足够,,,
61,1129083347256,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+128GB,2021-04-11 21:12:09,发货很快，操作很简单，客服服务热情，好评,,,
62,1127811280037,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 20:38:57,正在用，感觉还可以！第一次买小米的产品！符合预期。,,,
63,1128678318434,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 20:22:06,手机蛮流畅，不卡。拍照白天相当nice，充电快！除了价格贵点,,,
64,1128675406485,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:55:49,其他特色：第一次用小米，收到后一直没时间来评论，不是资深手机玩家，但拍照音质还行，手机现在使用也没出现卡顿的情况，机身拿在手上还是感觉有点重，机体偏厚，其他还可以！！！ 拍照效果：色调偏艳丽，整体效果还不错 电池续航：不怎么玩游戏，手机满格可以撑到一天,,,
65,1127805920170,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:48:53,拍照效果：不差，但还是有些失望，主摄拍照边缘模糊，解析力没有这个价位的水准，对焦也怪怪的，时准时不准，不过暗光拍照很强，但是物体颜色没法还原真实样子；广角没亮点，长焦在这价位仿佛是凑数的，说好的五倍光学变焦，但实际上糊得一批。 电池续航：2k+120Hz+5G，续航尿崩，早上8点有84%电，下午4点半剩28%，亮屏1.5小时，而且只是回复微信、偶尔拍拍照这些很轻量使用。 通信音质：暂时没发现什么优缺点。 运行速度：新手机运行速度肯定没问题的，路遥才能知马力。 显示效果：屏幕不错，用起来很顺手，曲面屏对全面屏手势很友好。  总结：①屏幕不错，2k+120hz很爽；②拍照就主摄能扛，其余两个来搞笑的；③想要续航，得乖乖地关掉5G，或者联wifi；④手感不错，握持顺手；⑤扬声器声音一大一小，但是上扬声器因为顶部和正面都可以出声音，底部扬声器只能底部出声音，所以声音大小差异没那么明显，机体也没啥共振；⑥第一次用MIUI，感觉还有优化空间，有时候会莫名其妙的卡顿和一些小毛病，而且还不是搭载MIUI12.5；⑦振动还能再优化，振感不干脆；⑧充电很快，很赞；⑨玩游戏发热可以接受，会有些掉帧，但是，日常使用温热！日常使用温热！日常使用温热！⑩如果只想要屏幕的，直接买11就行了。,,,
66,1128238841956,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 19:45:52,收到好几天了刚用上 发货物流很快 拍照效果很满意尤其是拍远处 快充也真的很快 实测不到40分钟可以完全充满了,,,
67,1128237805517,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:33:56,手机运行很流畅，就是有时候会掉帧，这个应该是系统优化不到位的问题。还有散热真的不怎么样，玩一段时间游戏之后发热就很严重了，最好不要戴着壳玩。拍照方面挺好   清晰，逆光下对光线处理的挺好。不过颜色过于鲜艳。（两张照片都是经过后期处理的，不过跟原片只有小小的差别）,,,
68,1128237385165,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:29:27,屏幕很清晰，系统很流畅，拍照夜景很强，目前电池续航还行。,,,
69,1127803532824,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:29:05,物流速度很快，宝贝到货打开一看，包装很严谨看着有档次。67W的充电器充电速度很快，不到一个小时就充满仅剩20%的本款手机。手机运行速度很快，照片效果很好，爱了爱了,,,
70,1129071535058,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 19:24:07,不错的手机太牛了比米八快多了  下载 速度  音质  拍照全方位压制米八,,,
71,1128671266614,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 19:17:42,其他特色：小米一直以来都是以参数作为营销噱头，参数基本没输过，每次看完小米的发布会就想买新款，作为9年的米粉，也是入了不少的坑，买过20几件小米的产品，MIUI用着很顺手，但是手机的综合体验感还需要再提升，总感觉用起来还不能完全说服自己满意！我希望小米能带给大家更好的体验感！小米加油！相信一切美好的事情即将发生！ 拍照效果：断断续续录视频三四十分钟，手机发热严重，系统提示手机过热，强制禁止打开闪光灯，而且我一直都没开过闪光灯，手机就发热那么严重。录视频不能调整拍摄画面的比例，只有拍照时才能调整画面比例，这跟之前的小米相机有差别，调不了画面比例，录出来的视频画面感不强！ 电池续航：本以为5000毫安电池很耐用，没想到火龙888的功耗这么高，拍视频、打游戏大概4小时多一点就没电了，依然治愈不了我的电量焦虑，幸好有67W快充来弥补！ 通信音质：哈曼卡顿调音，音量的响度还行，但要和小音响比，还是要差那么点意思的。 运行速度：火龙888对比865，两者差距的感知不强，反而火龙888会出现部分软件闪退的情况，而且火龙888很容易高烧，865基本都没闪退过，咋还越升级越退化了呢？ 显示效果：E4和E3屏幕，用肉眼真的很难看出差距，非要讲点差距就是E4耗电更快。玩游戏时，由于是前置打孔相机，游戏画面的整体有所向中间收拢，导致两端留白太多，按键没有全面屏那么好操作，画面看起来也没那么协调。,,,
72,1129067223521,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 18:45:10,近些年用的第一台安卓机，手机屏幕、照相、各种黑科技都很满意，就是MIUI12和11pro的适配还是有很多要完善的地方，比如拉到负一屏会卡，视觉效果有时也不稳定，还有各种小bug，希望4月的12.5能有惊喜 小米加油！,,,
73,1129066087351,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 18:35:29,还可以吧，反正官方买的，不会有什么问题，客服安米雅菲服务态度还可以！,,,
74,1127795604090,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 18:16:12,手机很好，速度快，照相功能很棒，充电快，电池续航能力强。,,,
75,1127793560609,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 18:02:45,把才买的rog5顶配卖了 还是买小米好用😂😂,,,
76,1127792056580,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 17:50:23,夜景效果还可以，电池续航非常棒，快充是真的快，没让失望。运行速度非常快，这就是888吗爱了爱了。曼哈顿音效不不知道是什么，一直没听歌，没啥感觉。体验非常棒小米加油！,,,
77,1128224313600,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 17:39:59,这个手机是我买的最好的手机，非常喜欢！,,,
78,1127789584756,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 17:33:49,其他特色：绿色挺好看的 这手机还是挺满意的，目前没发现什么问题。 购置镜头太突出了，赠的壳不如它高，目前还没找到全包的手机壳～ 拍照效果：这镜头真不错，我妈用拍照都很好 电池续航：个人觉得还行。一天一冲,,,
79,1128655334643,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 17:11:41,收到了，手机很好，没什么表情，但系统不是出厂12.5是真没想到的，现在的系统的稳定性烂得跟**一样。,,,
80,1129054539485,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 17:10:23,拍照效果：拍照真的好看还可以自己p蓝天哈哈哈哈 电池续航：二十分钟只掉4的电，还是一直在玩儿着听歌 通信音质：不错不错3d音质 运行速度：一般游戏的时候就会打开120刷新率,,,
81,1128218769541,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 16:58:38,新手机两大缺点，以下内容全部本人测评zqsg，血泪控诉，一：你们说好的散热垫是认真的吗？玩一会烫的不行，合着你们这手机还自带烤箱功能？！二，屏幕太滑，贴膜不贴膜都严重影响我游戏操作，手机滑动方向键时经常不跟手，导致我王者赛季初和好闺蜜一起掉了至少五颗星！心态炸裂！雷军你们好好想想怎么补偿吧,,,
82,1128652506217,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 16:52:04,拍照效果：效果非常出色，大底也不是盖的 电池续航：充电速度非常快，主要是无线有线一个速度，赞。 通信音质：音质动听，立体声效果很棒，看剧听歌都不错 运行速度：反应非常灵敏，满足所有使用场景 显示效果：这块屏幕显示细腻，色彩丰富,,,
83,1127781504056,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 16:35:11,打王者是真的发热严重，这点多少有点难受╯﹏╰ 还有，打王者有时背景音乐忽大忽小，然后和队友连麦听不见声音，这个怎么解决？ 其他还行，续航很给力，运行速度也很快，拍照很清晰，画面显示也很舒服。 嗯，唯一不爽的地方就是打游戏时的小毛病了。,,,
84,1129046263112,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 16:15:18,小米忠实用户，从小米2用起，到现在6个小米手机了，但是第一个这么贵的，后续用段时间再来追评 夜景拍照很不错，人像也美丽，可以看到纹理，电池对我来说蛮耐用的，不玩游戏一天是可以达到的。充电速度也挺快的，差不多20分钟充百分之60%左右 。运行速度快，蛮流畅的，挺好的,,,
85,1129043323676,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+128GB,2021-04-11 16:00:39,电池续航：好 通信音质：好 运行速度：好 显示效果：好,,,
86,1127775096014,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-11 15:54:02,终于等到11Pro了，很不错，第一次用小米，没有遇到任何问题，照相也很清晰，太喜欢了。,,,
87,1129040427899,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-11 15:42:56,比小米U轻点，手感很好，不知道电池续航能力怎么样，拍照清晰，要用三年应该，没问题支持小米越来越好。,,,
88,1128206009910,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+128GB,2021-04-11 15:36:42,手机很满意，性能很高，一如既往地支持小米！,,,
